title,text,type
Book Club Meeting,Book club meets Tuesday at 2:00 PM. We're discussing 'Pride and Prejudice'.,not spam
Your Computer Has Virus,URGENT! 1000 viruses detected! Fix now: http://scam-site.com,spam
Weekend Plans,Going hiking this Friday. Want to join? Meeting at 3:30 PM.,not spam
Meeting Reminder,Team meeting tomorrow at 3:30 PM in Conference Room A. See you there!,not spam
Book Club Meeting,Book club meets Tuesday at 9:00 AM. We're discussing 'Pride and Prejudice'.,not spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
Your Order Confirmation,Order #420466787 confirmed. Delivery: Dec 1. Track: 1Z999AA10123459079,not spam
Weekend Plans,Going hiking this Tuesday. Want to join? Meeting at 3:30 PM.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
Class Reminder,CS 301 class is at 10:30 AM in room 305. Don't forget homework!,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $10000. You get 50%!,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam
Utility Bill,Your water bill is $111. Due: Dec 5. Pay at company.gov,not spam
Recipe Shared,"Here's that chicken soup recipe you asked for: flour, eggs, milk",not spam
Your Computer Has Virus,URGENT! 10 viruses detected! Fix now: http://scam-site.com,spam
Recipe Shared,"Here's that pasta recipe you asked for: flour, eggs, milk",not spam
Your Order Confirmation,Order #753857318 confirmed. Delivery: Dec 5. Track: 1Z999AA10123456916,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Book Club Meeting,Book club meets Friday at 5:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Lose Weight Fast,Lose 1000 pounds in 30 days! No exercise! http://scam-site.com,spam
Recipe Shared,"Here's that apple pie recipe you asked for: chicken, vegetables, broth",not spam
Project Update,Here's the status update on project Alex. Review attached.,not spam
Class Reminder,CS 301 class is at 3:30 PM in room A44. Don't forget homework!,not spam
Class Reminder,Biology 102 class is at 9:00 AM in room 201. Don't forget homework!,not spam
Make Money From Home,Earn $10000 per day working from home! http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 25. Renew at front desk.,not spam
Recipe Shared,"Here's that apple pie recipe you asked for: apples, sugar, cinnamon",not spam
Flight Confirmation,Flight DL789 on Nov 25. DFW to BOS. Seat 8B.,not spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Hot Singles Near You,Meet 100 singles in your area tonight! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Make Money From Home,Earn $100000 per week working from home! http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Book Club Meeting,Book club meets this weekend at 2:00 PM. We're discussing 'Pride and Prejudice'.,not spam
Weekend Plans,Going hiking this Saturday. Want to join? Meeting at 9:00 AM.,not spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Lose Weight Fast,Lose 1000 pounds in 21 days! No exercise! http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
Hot Singles Near You,Meet 100 singles in your area tonight! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Your Order Confirmation,Order #180810151 confirmed. Delivery: Nov 27. Track: 1Z999AA10123451850,not spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Emily,not spam
Make Money From Home,Earn $5000 per week working from home! http://scam-site.com,spam
Your Computer Has Virus,URGENT! 10000 viruses detected! Fix now: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 25. Renew at front desk.,not spam
Your Computer Has Virus,URGENT! 20 viruses detected! Fix now: http://scam-site.com,spam
Tax Refund Available,Claim your $25000 tax refund now: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Saturday? Let me know! - Mike,not spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $100000. You get 50%!,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Conference Room A. See you there!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Class Reminder,Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,not spam
Lose Weight Fast,Lose 10 pounds in 7 days! No exercise! http://scam-site.com,spam
Weekend Plans,Going hiking this Tuesday. Want to join? Meeting at 2:00 PM.,not spam
Flight Confirmation,Flight AA123 on Nov 26. JFK to BOS. Seat 20A.,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Hot Singles Near You,Meet 20 singles in your area tonight! http://scam-site.com,spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
Utility Bill,Your electric bill is $169. Due: Dec 5. Pay at paybill.com,not spam
Your Computer Has Virus,URGENT! 20 viruses detected! Fix now: http://scam-site.com,spam
Your Order Confirmation,Order #593524636 confirmed. Delivery: Dec 1. Track: 1Z999AA10123456776,not spam
Your Order Confirmation,Order #883579285 confirmed. Delivery: Nov 26. Track: 1Z999AA10123453625,not spam
Parent-Teacher Conference,Conference scheduled Nov 26 at 10:30 AM. Please confirm.,not spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 2:00 PM.,not spam
Your Order Confirmation,Order #133309243 confirmed. Delivery: Nov 25. Track: 1Z999AA10123458741,not spam
Your Computer Has Virus,URGENT! 30 viruses detected! Fix now: http://scam-site.com,spam
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
Lose Weight Fast,Lose 20 pounds in 7 days! No exercise! http://scam-site.com,spam
Utility Bill,Your electric bill is $89. Due: Nov 25. Pay at utility.com,not spam
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam
Make Money From Home,Earn $100000 per month working from home! http://scam-site.com,spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 9:00 AM.,not spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Davis is on Dec 5 at 2:00 PM.,not spam
Your Computer Has Virus,URGENT! 50 viruses detected! Fix now: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 25. Renew at front desk.,not spam
Recipe Shared,"Here's that lasagna recipe you asked for: apples, sugar, cinnamon",not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Your Computer Has Virus,URGENT! 30 viruses detected! Fix now: http://scam-site.com,spam
Make Money From Home,Earn $1000000 per week working from home! http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Make Money From Home,Earn $1000 per day working from home! http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 9:00 AM. Please confirm.,not spam
Book Club Meeting,Book club meets Friday at 9:00 AM. We're discussing 'The Great Gatsby'.,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $5000. You get 300%!,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Book Club Meeting,Book club meets Saturday at 3:30 PM. We're discussing '1984'.,not spam
Class Reminder,Math 101 class is at 2:00 PM in room 201. Don't forget homework!,not spam
WIN BIG MONEY!,You've won $1000! Click here to claim: http://scam-site.com,spam
Lose Weight Fast,Lose 20 pounds in 21 days! No exercise! http://scam-site.com,spam
WIN BIG MONEY!,You've won $100000! Click here to claim: http://scam-site.com,spam
Your Order Confirmation,Order #917034469 confirmed. Delivery: Dec 5. Track: 1Z999AA10123453475,not spam
Gym Membership Renewal,Your gym membership expires Nov 26. Renew at front desk.,not spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Lose Weight Fast,Lose 50 pounds in 30 days! No exercise! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - Emily,not spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Book Club Meeting,Book club meets Friday at 3:30 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - John,not spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Cafeteria. See you there!,not spam
Hot Singles Near You,Meet 100 singles in your area tonight! http://scam-site.com,spam
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Project Update,Here's the status update on project Mike. Review attached.,not spam
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Class Reminder,CS 301 class is at 3:30 PM in room 305. Don't forget homework!,not spam
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Building B. See you there!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Project Update,Here's the status update on project Emily. Review attached.,not spam
Flight Confirmation,Flight AA123 on Nov 26. LAX to SFO. Seat 24A.,not spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam
Book Club Meeting,Book club meets this weekend at 5:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Book Club Meeting,Book club meets Saturday at 2:00 PM. We're discussing '1984'.,not spam
Hot Singles Near You,Meet 100 singles in your area tonight! http://scam-site.com,spam
Flight Confirmation,Flight AA123 on Nov 27. JFK to MIA. Seat 19B.,not spam
Book Club Meeting,Book club meets this weekend at 5:00 PM. We're discussing 'Pride and Prejudice'.,not spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Book Club Meeting,Book club meets Monday at 9:00 AM. We're discussing 'Pride and Prejudice'.,not spam
Lose Weight Fast,Lose 10000 pounds in 7 days! No exercise! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 5. LAX to BOS. Seat 8C.,not spam
Recipe Shared,"Here's that pasta recipe you asked for: apples, sugar, cinnamon",not spam
Book Club Meeting,Book club meets this weekend at 10:30 AM. We're discussing 'The Great Gatsby'.,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Lose Weight Fast,Lose 10 pounds in 14 days! No exercise! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Weekend Plans,Going hiking this Friday. Want to join? Meeting at 9:00 AM.,not spam
Make Money From Home,Earn $1000 per day working from home! http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
Class Reminder,Math 101 class is at 10:30 AM in room 305. Don't forget homework!,not spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Utility Bill,Your electric bill is $35. Due: Dec 1. Pay at company.gov,not spam
Class Reminder,CS 301 class is at 2:00 PM in room 305. Don't forget homework!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
WIN BIG MONEY!,You've won $1000! Click here to claim: http://scam-site.com,spam
Class Reminder,Math 101 class is at 3:30 PM in room B12. Don't forget homework!,not spam
Utility Bill,Your water bill is $169. Due: Nov 25. Pay at company.gov,not spam
Gym Membership Renewal,Your gym membership expires Dec 5. Renew at front desk.,not spam
Appointment Reminder,Your appointment with Dr. Williams is on Dec 1 at 10:30 AM.,not spam
Enlarge Your Size,Grow 3 inches naturally! Guaranteed! http://scam-site.com,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Make Money From Home,Earn $1000000 per month working from home! http://scam-site.com,spam
Book Club Meeting,Book club meets Tuesday at 9:00 AM. We're discussing 'To Kill a Mockingbird'.,not spam
Utility Bill,Your electric bill is $184. Due: Dec 5. Pay at paybill.com,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Lose Weight Fast,Lose 50 pounds in 14 days! No exercise! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $5000. You get 50%!,spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
Lose Weight Fast,Lose 30 pounds in 21 days! No exercise! http://scam-site.com,spam
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam
Recipe Shared,"Here's that chicken soup recipe you asked for: chicken, vegetables, broth",not spam
Project Update,Here's the status update on project Alex. Review attached.,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam
Free Gift Card,You won a $100000 Amazon gift card! Claim: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Room 301. See you there!,not spam
Book Club Meeting,Book club meets this weekend at 2:00 PM. We're discussing 'The Great Gatsby'.,not spam
Flight Confirmation,Flight DL789 on Nov 26. DFW to SEA. Seat 11B.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Enlarge Your Size,Grow 3 inches naturally! Guaranteed! http://scam-site.com,spam
Book Club Meeting,Book club meets this weekend at 3:30 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Utility Bill,Your electric bill is $116. Due: Nov 25. Pay at paybill.com,not spam
Parent-Teacher Conference,Conference scheduled Nov 27 at 5:00 PM. Please confirm.,not spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
Free Gift Card,You won a $100000 Amazon gift card! Claim: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Conference Room A. See you there!,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Cafeteria. See you there!,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Lose Weight Fast,Lose 50 pounds in 14 days! No exercise! http://scam-site.com,spam
Utility Bill,Your gas bill is $76. Due: Nov 26. Pay at paybill.com,not spam
Project Update,Here's the status update on project Lisa. Review attached.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Flight Confirmation,Flight AA123 on Dec 5. JFK to BOS. Seat 13A.,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Johnson is on Dec 1 at 3:30 PM.,not spam
Book Club Meeting,Book club meets Tuesday at 3:30 PM. We're discussing 'Pride and Prejudice'.,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Tax Refund Available,Claim your $1000000 tax refund now: http://scam-site.com,spam
Weekend Plans,Going hiking this Tuesday. Want to join? Meeting at 10:30 AM.,not spam
Recipe Shared,"Here's that chicken soup recipe you asked for: flour, eggs, milk",not spam
Utility Bill,Your water bill is $198. Due: Dec 5. Pay at paybill.com,not spam
Parent-Teacher Conference,Conference scheduled Nov 27 at 3:30 PM. Please confirm.,not spam
Recipe Shared,"Here's that apple pie recipe you asked for: flour, eggs, milk",not spam
Meeting Reminder,Team meeting tomorrow at 3:30 PM in Conference Room A. See you there!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam
