title,text,type,combined_text,cleaned_text,label
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 200% returns with our crypto bot! http://scam-site.com,bitcoin investment make 200% returns with our crypto bot!,1
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Conference Room A. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 5:00 PM in Conference Room A. See you there!,meeting reminder team meeting tomorrow at 5:00 pm in conference room a. see you there!,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $1000000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $1000000 walmart gift card! claim:,1
Free Gift Card,You won a $1000000 Target gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $1000000 Target gift card! Claim: http://scam-site.com,free gift card you won a $1000000 target gift card! claim:,1
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Building B. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 9:00 AM in Building B. See you there!,meeting reminder team meeting tomorrow at 9:00 am in building b. see you there!,0
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Sarah,happy birthday happy birthday! hope you have an amazing day! - sarah,0
Your Computer Has Virus,URGENT! 30 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 30 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 30 viruses detected! fix now:,1
Appointment Reminder,Your appointment with Dr. Smith is on Nov 25 at 5:00 PM.,not spam,Appointment Reminder Your appointment with Dr. Smith is on Nov 25 at 5:00 PM.,appointment reminder your appointment with dr. smith is on nov 25 at 5:00 pm.,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Book Club Meeting,Book club meets Friday at 10:30 AM. We're discussing 'To Kill a Mockingbird'.,not spam,Book Club Meeting Book club meets Friday at 10:30 AM. We're discussing 'To Kill a Mockingbird'.,book club meeting book club meets friday at 10:30 am. we're discussing 'to kill a mockingbird'.,0
WIN BIG MONEY!,You've won $10000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $10000! Click here to claim: http://scam-site.com,win big money! you've won $10000! click here to claim:,1
Flight Confirmation,Flight AA123 on Nov 26. LAX to SFO. Seat 24A.,not spam,Flight Confirmation Flight AA123 on Nov 26. LAX to SFO. Seat 24A.,flight confirmation flight aa123 on nov 26. lax to sfo. seat 24a.,0
Recipe Shared,"Here's that chicken soup recipe you asked for: chicken, vegetables, broth",not spam,"Recipe Shared Here's that chicken soup recipe you asked for: chicken, vegetables, broth","recipe shared here's that chicken soup recipe you asked for: chicken, vegetables, broth",0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Appointment Reminder,Your appointment with Dr. Davis is on Dec 5 at 9:00 AM.,not spam,Appointment Reminder Your appointment with Dr. Davis is on Dec 5 at 9:00 AM.,appointment reminder your appointment with dr. davis is on dec 5 at 9:00 am.,0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Dinner Plans,Want to grab dinner Friday? Let me know! - John,not spam,Dinner Plans Want to grab dinner Friday? Let me know! - John,dinner plans want to grab dinner friday? let me know! - john,0
Weekend Plans,Going hiking this Tuesday. Want to join? Meeting at 10:30 AM.,not spam,Weekend Plans Going hiking this Tuesday. Want to join? Meeting at 10:30 AM.,weekend plans going hiking this tuesday. want to join? meeting at 10:30 am.,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Class Reminder,Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,not spam,Class Reminder Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,class reminder biology 102 class is at 3:30 pm in room b12. don't forget homework!,0
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Nov 27. Renew at front desk.,gym membership renewal your gym membership expires nov 27. renew at front desk.,0
Flight Confirmation,Flight UA456 on Dec 1. JFK to SFO. Seat 30A.,not spam,Flight Confirmation Flight UA456 on Dec 1. JFK to SFO. Seat 30A.,flight confirmation flight ua456 on dec 1. jfk to sfo. seat 30a.,0
Make Money From Home,Earn $1000 per month working from home! http://scam-site.com,spam,Make Money From Home Earn $1000 per month working from home! http://scam-site.com,make money from home earn $1000 per month working from home!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $100000 tax refund now: http://scam-site.com,tax refund available claim your $100000 tax refund now:,1
Appointment Reminder,Your appointment with Dr. Davis is on Dec 5 at 5:00 PM.,not spam,Appointment Reminder Your appointment with Dr. Davis is on Dec 5 at 5:00 PM.,appointment reminder your appointment with dr. davis is on dec 5 at 5:00 pm.,0
Flight Confirmation,Flight DL789 on Nov 25. DFW to BOS. Seat 8B.,not spam,Flight Confirmation Flight DL789 on Nov 25. DFW to BOS. Seat 8B.,flight confirmation flight dl789 on nov 25. dfw to bos. seat 8b.,0
Utility Bill,Your water bill is $94. Due: Nov 25. Pay at paybill.com,not spam,Utility Bill Your water bill is $94. Due: Nov 25. Pay at paybill.com,utility bill your water bill is $94. due: nov 25. pay at paybill.com,0
Book Club Meeting,Book club meets Monday at 10:30 AM. We're discussing 'The Great Gatsby'.,not spam,Book Club Meeting Book club meets Monday at 10:30 AM. We're discussing 'The Great Gatsby'.,book club meeting book club meets monday at 10:30 am. we're discussing 'the great gatsby'.,0
Your Order Confirmation,Order #289144425 confirmed. Delivery: Nov 26. Track: 1Z999AA10123456474,not spam,Your Order Confirmation Order #289144425 confirmed. Delivery: Nov 26. Track: 1Z999AA10123456474,your order confirmation order #289144425 confirmed. delivery: nov 26. track: 1z999aa10123456474,0
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Emily,happy birthday happy birthday! hope you have an amazing day! - emily,0
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 2 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 2 inches naturally! guaranteed!,1
Project Update,Here's the status update on project Sarah. Review attached.,not spam,Project Update Here's the status update on project Sarah. Review attached.,project update here's the status update on project sarah. review attached.,0
Nigerian Prince Email,I need your help transferring $25000. You get 30%!,spam,Nigerian Prince Email I need your help transferring $25000. You get 30%!,nigerian prince email i need your help transferring $25000. you get 30%!,1
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #DL789 when you get a chance? Thanks!,code review request can you review pr #dl789 when you get a chance? thanks!,0
Book Club Meeting,Book club meets Friday at 10:30 AM. We're discussing 'To Kill a Mockingbird'.,not spam,Book Club Meeting Book club meets Friday at 10:30 AM. We're discussing 'To Kill a Mockingbird'.,book club meeting book club meets friday at 10:30 am. we're discussing 'to kill a mockingbird'.,0
Happy Birthday,Happy birthday! Hope you have an amazing day! - Alex,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Alex,happy birthday happy birthday! hope you have an amazing day! - alex,0
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $55/hour! http://scam-site.com,work from home assembly assemble products at home! $55/hour!,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Your Order Confirmation,Order #796575162 confirmed. Delivery: Nov 27. Track: 1Z999AA10123458768,not spam,Your Order Confirmation Order #796575162 confirmed. Delivery: Nov 27. Track: 1Z999AA10123458768,your order confirmation order #796575162 confirmed. delivery: nov 27. track: 1z999aa10123458768,0
Class Reminder,Math 101 class is at 5:00 PM in room 201. Don't forget homework!,not spam,Class Reminder Math 101 class is at 5:00 PM in room 201. Don't forget homework!,class reminder math 101 class is at 5:00 pm in room 201. don't forget homework!,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Lose Weight Fast,Lose 1000 pounds in 21 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 1000 pounds in 21 days! No exercise! http://scam-site.com,lose weight fast lose 1000 pounds in 21 days! no exercise!,1
Bitcoin Investment,Make 30% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 30% returns with our crypto bot! http://scam-site.com,bitcoin investment make 30% returns with our crypto bot!,1
Nigerian Prince Email,I need your help transferring $25000. You get 30%!,spam,Nigerian Prince Email I need your help transferring $25000. You get 30%!,nigerian prince email i need your help transferring $25000. you get 30%!,1
